时间(ms)	距离(mm)		时间(ms)	距离(mm)
0	0		2.01	1.99
0.01	0.00		2.02	1.97
0.02	0.00		2.03	1.93
0.03	0.00		2.04	1.87
0.04	0.00		2.05	1.81
0.05	0.00		2.06	1.73
0.06	0.00		2.07	1.64
0.07	0.00		2.08	1.54
0.08	0.01		2.09	1.44
0.09	0.01		2.10	1.34
0.10	0.01		2.11	1.24
0.11	0.02		2.12	1.13
0.12	0.03		2.13	1.03
0.13	0.04		2.14	0.93
0.14	0.05		2.15	0.84
0.15	0.06		2.16	0.75
0.16	0.08		2.17	0.66
0.17	0.10		2.18	0.58
0.18	0.13		2.19	0.51
0.19	0.16		2.20	0.44
0.20	0.19		2.21	0.38
0.21	0.23		2.22	0.32
0.22	0.28		2.23	0.27
0.23	0.33		2.24	0.23
0.24	0.38		2.25	0.19
0.25	0.44		2.26	0.15
0.26	0.51		2.27	0.13
0.27	0.59		2.28	0.10
0.28	0.67		2.29	0.08
0.29	0.75		2.30	0.06
0.30	0.84		2.31	0.05
0.31	0.94		2.32	0.03
0.32	1.04		2.33	0.03
0.33	1.14		2.34	0.02
0.34	1.24		2.35	0.01
0.35	1.35		2.36	0.01
0.36	1.45		2.37	0.00
0.37	1.55		2.38	0.00
0.38	1.64		2.39	0.00
0.39	1.73		2.40	0.00
0.40	1.81		2.41	0.00
0.41	1.88		2.42	0.00
0.42	1.93		2.43	0.00
0.43	1.97		2.44	0.00
0.44	2.00		2.45	0
[0.45,2]	2		[2.46,100]	0
