压力(MPa)	弹性模量(MPa)
0	1,538.40
0.50	1,540.80
1	1,543.30
1.50	1,545.70
2	1,548.20
2.50	1,550.60
3	1,553.10
3.50	1,555.60
4	1,558
4.50	1,560.50
5	1,563
5.50	1,565.50
6	1,568
6.50	1,570.50
7	1,573
7.50	1,575.50
8	1,578
8.50	1,580.60
9	1,583.10
9.50	1,585.60
10	1,588.20
10.50	1,590.70
11	1,593.30
11.50	1,595.90
12	1,598.40
12.50	1,601
13	1,603.60
13.50	1,606.20
14	1,608.80
14.50	1,611.30
15	1,614
15.50	1,616.60
16	1,619.20
16.50	1,621.80
17	1,624.40
17.50	1,627.10
18	1,629.70
18.50	1,632.40
19	1,635
19.50	1,637.70
20	1,640.30
20.50	1,643
21	1,645.70
21.50	1,648.40
22	1,651.10
22.50	1,653.80
23	1,656.50
23.50	1,659.20
24	1,661.90
24.50	1,664.60
25	1,667.40
25.50	1,670.10
26	1,672.80
26.50	1,675.60
27	1,678.30
27.50	1,681.10
28	1,683.90
28.50	1,686.70
29	1,689.50
29.50	1,692.20
30	1,695
30.50	1,697.80
31	1,700.70
31.50	1,703.50
32	1,706.30
32.50	1,709.10
33	1,712
33.50	1,714.80
34	1,717.70
34.50	1,720.60
35	1,723.40
35.50	1,726.30
36	1,729.20
36.50	1,732.10
37	1,735
37.50	1,737.90
38	1,740.80
38.50	1,743.70
39	1,746.70
39.50	1,749.60
40	1,752.50
40.50	1,755.50
41	1,758.40
41.50	1,761.40
42	1,764.40
42.50	1,767.40
43	1,770.40
43.50	1,773.40
44	1,776.40
44.50	1,779.40
45	1,782.40
45.50	1,785.40
46	1,788.50
46.50	1,791.50
47	1,794.60
47.50	1,797.60
48	1,800.70
48.50	1,803.80
49	1,806.80
49.50	1,809.90
50	1,813
50.50	1,816.10
51	1,819.30
51.50	1,822.40
52	1,825.50
52.50	1,828.70
53	1,831.80
53.50	1,835
54	1,838.10
54.50	1,841.30
55	1,844.50
55.50	1,847.70
56	1,850.90
56.50	1,854.10
57	1,857.30
57.50	1,860.60
58	1,863.80
58.50	1,867
59	1,870.30
59.50	1,873.60
60	1,876.80
60.50	1,880.10
61	1,883.40
61.50	1,886.70
62	1,890
62.50	1,893.30
63	1,896.60
63.50	1,900
64	1,903.30
64.50	1,906.70
65	1,910
65.50	1,913.40
66	1,916.80
66.50	1,920.20
67	1,923.60
67.50	1,927
68	1,930.40
68.50	1,933.80
69	1,937.30
69.50	1,940.70
70	1,944.20
70.50	1,947.70
71	1,951.10
71.50	1,954.60
72	1,958.10
72.50	1,961.60
73	1,965.20
73.50	1,968.70
74	1,972.20
74.50	1,975.80
75	1,979.30
75.50	1,982.90
76	1,986.50
76.50	1,990.10
77	1,993.70
77.50	1,997.30
78	2,000.90
78.50	2,004.50
79	2,008.20
79.50	2,011.80
80	2,015.50
80.50	2,019.20
81	2,022.90
81.50	2,026.50
82	2,030.30
82.50	2,034
83	2,037.70
83.50	2,041.40
84	2,045.20
84.50	2,049
85	2,052.70
85.50	2,056.50
86	2,060.30
86.50	2,064.10
87	2,067.90
87.50	2,071.80
88	2,075.60
88.50	2,079.50
89	2,083.30
89.50	2,087.20
90	2,091.10
90.50	2,095
91	2,098.90
91.50	2,102.80
92	2,106.80
92.50	2,110.70
93	2,114.70
93.50	2,118.60
94	2,122.60
94.50	2,126.60
95	2,130.60
95.50	2,134.70
96	2,138.70
96.50	2,142.70
97	2,146.80
97.50	2,150.90
98	2,155
98.50	2,159.10
99	2,163.20
99.50	2,167.30
100	2,171.40
100.50	2,175.60
101	2,179.70
101.50	2,183.90
102	2,188.10
102.50	2,192.30
103	2,196.50
103.50	2,200.80
104	2,205
104.50	2,209.30
105	2,213.50
105.50	2,217.80
106	2,222.10
106.50	2,226.40
107	2,230.70
107.50	2,235.10
108	2,239.40
108.50	2,243.80
109	2,248.20
109.50	2,252.60
110	2,257
110.50	2,261.40
111	2,265.90
111.50	2,270.30
112	2,274.80
112.50	2,279.30
113	2,283.80
113.50	2,288.30
114	2,292.80
114.50	2,297.40
115	2,301.90
115.50	2,306.50
116	2,311.10
116.50	2,315.70
117	2,320.30
117.50	2,324.90
118	2,329.60
118.50	2,334.30
119	2,339
119.50	2,343.70
120	2,348.40
120.50	2,353.10
121	2,357.80
121.50	2,362.60
122	2,367.40
122.50	2,372.20
123	2,377
123.50	2,381.80
124	2,386.70
124.50	2,391.50
125	2,396.40
125.50	2,401.30
126	2,406.20
126.50	2,411.20
127	2,416.10
127.50	2,421.10
128	2,426.10
128.50	2,431.10
129	2,436.10
129.50	2,441.10
130	2,446.20
130.50	2,451.30
131	2,456.30
131.50	2,461.50
132	2,466.60
132.50	2,471.70
133	2,476.90
133.50	2,482.10
134	2,487.30
134.50	2,492.50
135	2,497.70
135.50	2,503
136	2,508.30
136.50	2,513.60
137	2,518.90
137.50	2,524.20
138	2,529.60
138.50	2,534.90
139	2,540.30
139.50	2,545.80
140	2,551.20
140.50	2,556.60
141	2,562.10
141.50	2,567.60
142	2,573.10
142.50	2,578.70
143	2,584.20
143.50	2,589.80
144	2,595.40
144.50	2,601
145	2,606.70
145.50	2,612.30
146	2,618
146.50	2,623.70
147	2,629.40
147.50	2,635.20
148	2,641
148.50	2,646.70
149	2,652.60
149.50	2,658.40
150	2,664.30
150.50	2,670.10
151	2,676
151.50	2,682
152	2,687.90
152.50	2,693.90
153	2,699.90
153.50	2,705.90
154	2,712
154.50	2,718
155	2,724.10
155.50	2,730.20
156	2,736.40
156.50	2,742.60
157	2,748.70
157.50	2,755
158	2,761.20
158.50	2,767.50
159	2,773.80
159.50	2,780.10
160	2,786.40
160.50	2,792.80
161	2,799.20
161.50	2,805.60
162	2,812
162.50	2,818.50
163	2,825
163.50	2,831.50
164	2,838.10
164.50	2,844.70
165	2,851.30
165.50	2,857.90
166	2,864.60
166.50	2,871.20
167	2,878
167.50	2,884.70
168	2,891.50
168.50	2,898.30
169	2,905.10
169.50	2,912
170	2,918.80
170.50	2,925.80
171	2,932.70
171.50	2,939.70
172	2,946.70
172.50	2,953.70
173	2,960.80
173.50	2,967.90
174	2,975
174.50	2,982.20
175	2,989.30
175.50	2,996.60
176	3,003.80
176.50	3,011.10
177	3,018.40
177.50	3,025.80
178	3,033.10
178.50	3,040.50
179	3,048
179.50	3,055.50
180	3,063
180.50	3,070.50
181	3,078.10
181.50	3,085.70
182	3,093.30
182.50	3,101
183	3,108.70
183.50	3,116.50
184	3,124.30
184.50	3,132.10
185	3,139.90
185.50	3,147.80
186	3,155.70
186.50	3,163.70
187	3,171.70
187.50	3,179.70
188	3,187.80
188.50	3,195.90
189	3,204.10
189.50	3,212.20
190	3,220.50
190.50	3,228.70
191	3,237
191.50	3,245.40
192	3,253.70
192.50	3,262.20
193	3,270.60
193.50	3,279.10
194	3,287.60
194.50	3,296.20
195	3,304.80
195.50	3,313.50
196	3,322.20
196.50	3,331
197	3,339.70
197.50	3,348.60
198	3,357.40
198.50	3,366.40
199	3,375.30
199.50	3,384.30
200	3,393.40
